"Mass","formula","element_comp","class","HC","OC","AImod","NOSC","C","H","O","N","S","P"
538.1565231,"C24H29O13N1","CHON","unsaturated/lignin",1.21,0.54,0.2121,0,24,29,13,1,0,0
538.1695923,"C21H34O13N1P1","CHONP","aliphatic",1.62,0.62,-0.2,-0.2381,21,34,13,1,0,1
538.1774874,"C21H33O15N1","CHON","aliphatic",1.57,0.71,-0.2,0,21,33,15,1,0,0
538.2060647,"C22H38O12N1P1","CHONP","aliphatic",1.73,0.55,-0.2143,-0.5,22,38,12,1,0,1
538.2234293,"C33H33O6N1","CHON","unsaturated/lignin",1,0.18,0.4828,-0.5455,33,33,6,1,0,0
538.2424632,"C23H42O11N1P1","CHONP","aliphatic",1.83,0.48,-0.2258,-0.7391,23,42,11,1,0,1
538.2786409,"C24H46O10N1P1","CHONP","aliphatic",1.92,0.42,-0.2353,-0.9583,24,46,10,1,0,1
538.9950747,"C20H12O18","CHO","aromatic",0.6,0.9,0.5455,1.2,20,12,18,0,0,0
539.009862,"C16H16O17N2S1","CHONS","unsaturated/lignin",1,1.06,-0.3333,1.625,16,16,17,2,1,0
539.0104471,"C24H12O15","CHO","condensed_arom",0.5,0.62,0.697,0.75,24,12,15,0,0,0
539.010811,"C27H13O7N2S1P1","CHONSP","condensed_arom",0.48,0.26,0.7949,0.3333,27,13,7,2,1,1
539.0315437,"C21H16O17","CHO","unsaturated/lignin",0.76,0.81,0.44,0.8571,21,16,17,0,0,0
539.0467878,"C25H16O14","CHO","aromatic",0.64,0.56,0.6111,0.48,25,16,14,0,0,0
539.0471513,"C25H16O14","CHO","aromatic",0.64,0.56,0.6111,0.48,25,16,14,0,0,0
539.0678945,"C22H20O16","CHO","unsaturated/lignin",0.91,0.73,0.3571,0.5455,22,20,16,0,0,0
539.0784018,"C23H25O11S1P1","CHOSP","unsaturated/lignin",1.09,0.48,0.2903,-0.0435,23,25,11,0,1,1
539.0831104,"C26H20O13","CHO","aromatic",0.77,0.5,0.5385,0.2308,26,20,13,0,0,0
539.0968174,"C24H29O8S2P1","CHOSP","unsaturated/lignin",1.21,0.33,0.2353,-0.375,24,29,8,0,2,1
539.1042181,"C23H24O15","CHO","unsaturated/lignin",1.04,0.65,0.2903,0.2609,23,24,15,0,0,0
539.1173373,"C20H29O15P1","CHOP","unsaturated/lignin",1.45,0.75,-0.1304,0.05,20,29,15,0,0,1
539.1178301,"C21H33O10S2P1","CHOSP","aliphatic",1.57,0.48,-0.1538,-0.4286,21,33,10,0,2,1
539.1194928,"C27H24O12","CHO","unsaturated/lignin",0.89,0.44,0.4762,0,27,24,12,0,0,0
539.1198853,"C30H25O4N2S1P1","CHONSP","aromatic",0.83,0.13,0.5833,-0.3,30,25,4,2,1,1
539.1222519,"C26H25O9N2P1","CHONP","unsaturated/lignin",0.96,0.35,0.4595,-0.0385,26,25,9,2,0,1
539.1326388,"C24H29O12P1","CHOP","unsaturated/lignin",1.21,0.5,0.2353,-0.2083,24,29,12,0,0,1
539.1382958,"C17H33O17P1","CHOP","aliphatic",1.94,1,-1,0.0588,17,33,17,0,0,1
539.1405664,"C24H28O14","CHO","unsaturated/lignin",1.17,0.58,0.2353,0,24,28,14,0,0,0
539.1535765,"C21H33O14P1","CHOP","aliphatic",1.57,0.67,-0.1538,-0.2381,21,33,14,0,0,1
539.1545464,"C22H37O9S2P1","CHOSP","aliphatic",1.68,0.41,-0.1724,-0.6818,22,37,9,0,2,1
539.1558026,"C28H28O11","CHO","unsaturated/lignin",1,0.39,0.4222,-0.2143,28,28,11,0,0,0
539.1561557,"C31H29O3N2S1P1","CHONSP","aromatic",0.94,0.1,0.5294,-0.4839,31,29,3,2,1,1
539.1564324,"C31H29O3N2S1P1","CHONSP","aromatic",0.94,0.1,0.5294,-0.4839,31,29,3,2,1,1
539.1688858,"C25H33O11P1","CHOP","unsaturated/lignin",1.32,0.44,0.1892,-0.44,25,33,11,0,0,1
539.1691799,"C25H33O11P1","CHOP","unsaturated/lignin",1.32,0.44,0.1892,-0.44,25,33,11,0,0,1
539.1769064,"C25H32O13","CHO","unsaturated/lignin",1.28,0.52,0.1892,-0.24,25,32,13,0,0,0
539.186308,"C36H28O5","CHO","aromatic",0.78,0.14,0.6119,-0.5,36,28,5,0,0,0
539.1898869,"C22H37O13P1","CHOP","aliphatic",1.68,0.59,-0.1724,-0.5,22,37,13,0,0,1
539.1920949,"C29H32O10","CHO","unsaturated/lignin",1.1,0.34,0.375,-0.4138,29,32,10,0,0,0
539.1979022,"C22H36O15","CHO","aliphatic",1.64,0.68,-0.1724,-0.2727,22,36,15,0,0,0
539.2052958,"C26H37O10P1","CHOP","unsaturated/lignin",1.42,0.38,0.15,-0.6538,26,37,10,0,0,1
539.2059777,"C27H41O5S2P1","CHOSP","aliphatic",1.52,0.19,0.1163,-1,27,41,5,0,2,1
539.2132719,"C26H36O12","CHO","unsaturated/lignin",1.38,0.46,0.15,-0.4615,26,36,12,0,0,0
539.2228595,"C37H32O4","CHO","aromatic",0.86,0.11,0.5714,-0.6486,37,32,4,0,0,0
539.2263503,"C23H41O12P1","CHOP","aliphatic",1.78,0.52,-0.1875,-0.7391,23,41,12,0,0,1
539.2319147,"C27H40O9S1","CHOS","unsaturated/lignin",1.48,0.33,0.1163,-0.7407,27,40,9,0,1,0
539.2417136,"C27H41O9P1","CHOP","aliphatic",1.52,0.33,0.1163,-0.8519,27,41,9,0,0,1
539.2421468,"C28H45O4S2P1","CHOSP","aliphatic",1.61,0.14,0.087,-1.1786,28,45,4,0,2,1
539.2426766,"C28H45O4S2P1","CHOSP","aliphatic",1.61,0.14,0.087,-1.1786,28,45,4,0,2,1
539.2431575,"C26H40O8N2S1","CHONS","aliphatic",1.54,0.31,0.0526,-0.6154,26,40,8,2,1,0
539.2437928,"C34H36O6","CHO","unsaturated/lignin",1.06,0.18,0.4516,-0.7059,34,36,6,0,0,0
539.2441184,"C34H36O6","CHO","unsaturated/lignin",1.06,0.18,0.4516,-0.7059,34,36,6,0,0,0
539.24969,"C27H40O11","CHO","unsaturated/lignin",1.48,0.41,0.1163,-0.6667,27,40,11,0,0,0
539.2627855,"C24H45O11P1","CHOP","aliphatic",1.88,0.46,-0.2,-0.9583,24,45,11,0,0,1
539.2684421,"C28H44O8S1","CHOS","aliphatic",1.57,0.29,0.087,-0.9286,28,44,8,0,1,0
539.2741115,"C23H45O10N2P1","CHONP","aliphatic",1.96,0.43,-0.3333,-0.8261,23,45,10,2,0,1
539.2780788,"C28H45O8P1","CHOP","aliphatic",1.61,0.29,0.087,-1.0357,28,45,8,0,0,1
539.27978,"C27H44O7N2S1","CHONS","aliphatic",1.63,0.26,0.0244,-0.8148,27,44,7,2,1,0
539.2801816,"C35H40O5","CHO","unsaturated/lignin",1.14,0.14,0.4154,-0.8571,35,40,5,0,0,0
539.2861041,"C28H44O10","CHO","aliphatic",1.57,0.36,0.087,-0.8571,28,44,10,0,0,0
539.2991462,"C25H49O10P1","CHOP","aliphatic",1.96,0.4,-0.2105,-1.16,25,49,10,0,0,1
539.3047363,"C29H48O7S1","CHOS","aliphatic",1.66,0.24,0.0612,-1.1034,29,48,7,0,1,0
539.3144593,"C29H49O7P1","CHOP","aliphatic",1.69,0.24,0.0612,-1.2069,29,49,7,0,0,1
539.3225356,"C29H48O9","CHO","aliphatic",1.66,0.31,0.0612,-1.0345,29,48,9,0,0,0
539.3589696,"C30H52O8","CHO","aliphatic",1.73,0.27,0.0385,-1.2,30,52,8,0,0,0
540.005504,"C23H11O15N1","CHON","condensed_arom",0.48,0.65,0.7241,0.9565,23,11,15,1,0,0
540.0268891,"C20H15O17N1","CHON","unsaturated/lignin",0.75,0.85,0.4286,1.1,20,15,17,1,0,0
540.0419684,"C24H15O14N1","CHON","aromatic",0.62,0.58,0.625,0.6667,24,15,14,1,0,0
540.0630675,"C21H19O16N1","CHON","unsaturated/lignin",0.9,0.76,0.3333,0.7619,21,19,16,1,0,0
540.0634044,"C21H19O16N1","CHON","unsaturated/lignin",0.9,0.76,0.3333,0.7619,21,19,16,1,0,0
540.0783881,"C25H19O13N1","CHON","aromatic",0.76,0.52,0.5429,0.4,25,19,13,1,0,0
540.0787368,"C28H20O5N3S1P1","CHONSP","aromatic",0.71,0.18,0.6585,0.0357,28,20,5,3,1,1
540.0995411,"C22H23O15N1","CHON","unsaturated/lignin",1.05,0.68,0.2593,0.4545,22,23,15,1,0,0
540.0998776,"C22H23O15N1","CHON","unsaturated/lignin",1.05,0.68,0.2593,0.4545,22,23,15,1,0,0
540.114746,"C26H23O12N1","CHON","unsaturated/lignin",0.88,0.46,0.4737,0.1538,26,23,12,1,0,0
540.1362832,"C23H27O14N1","CHON","unsaturated/lignin",1.17,0.61,0.2,0.1739,23,27,14,1,0,0
540.180755,"C27H31O7N3S1","CHONS","unsaturated/lignin",1.15,0.26,0.3333,-0.2222,27,31,7,3,1,0
540.1853182,"C21H36O13N1P1","CHONP","aliphatic",1.71,0.62,-0.28,-0.3333,21,36,13,1,0,1
540.2216567,"C22H40O12N1P1","CHONP","aliphatic",1.82,0.55,-0.2857,-0.5909,22,40,12,1,0,1
540.2579577,"C23H44O11N1P1","CHONP","aliphatic",1.91,0.48,-0.2903,-0.8261,23,44,11,1,0,1
540.2817354,"C30H44O2N3S1P1","CHONSP","unsaturated/lignin",1.47,0.07,0.2083,-0.9667,30,44,2,3,1,1
540.3038693,"C35H44O2N1P1","CHONP","unsaturated/lignin",1.26,0.06,0.375,-1.0571,35,44,2,1,0,1
540.3041494,"C25H43O8N5","CHON","aliphatic",1.72,0.32,-0.125,-0.48,25,43,8,5,0,0
540.9894845,"C23H10O16","CHO","condensed_arom",0.43,0.7,0.7333,0.9565,23,10,16,0,0,0
540.9898188,"C23H10O16","CHO","condensed_arom",0.43,0.7,0.7333,0.9565,23,10,16,0,0,0
541.0024603,"C20H15O16P1","CHOP","unsaturated/lignin",0.75,0.8,0.4545,0.85,20,15,16,0,0,1
541.0106808,"C20H14O18","CHO","unsaturated/lignin",0.7,0.9,0.4545,1.1,20,14,18,0,0,0
541.0258927,"C24H14O15","CHO","aromatic",0.58,0.62,0.6364,0.6667,24,14,15,0,0,0
541.0262368,"C24H14O15","CHO","aromatic",0.58,0.62,0.6364,0.6667,24,14,15,0,0,0
541.047068,"C21H18O17","CHO","unsaturated/lignin",0.86,0.81,0.36,0.7619,21,18,17,0,0,0
541.0623019,"C25H18O14","CHO","aromatic",0.72,0.56,0.5556,0.4,25,18,14,0,0,0
541.0753512,"C22H23O14P1","CHOP","unsaturated/lignin",1.05,0.64,0.2857,0.2273,22,23,14,0,0,1
541.0760582,"C23H27O9S2P1","CHOSP","unsaturated/lignin",1.17,0.39,0.2258,-0.2174,23,27,9,0,2,1
541.0834852,"C22H22O16","CHO","unsaturated/lignin",1,0.73,0.2857,0.4545,22,22,16,0,0,0
541.0987371,"C26H22O13","CHO","unsaturated/lignin",0.85,0.5,0.4872,0.1538,26,22,13,0,0,0
541.1123056,"C24H31O8S2P1","CHOSP","unsaturated/lignin",1.29,0.33,0.1765,-0.4583,24,31,8,0,2,1
